,district,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor
129,Quận 11,3.0,40.0,2.0,,TRUE,True,True,,,,True,
130,,3.7,75.0,3.0,2.0,TRUE,,,,,,True,2.0
131,Hồng Lạc,4.0,46.0,4.0,,TRUE,,,,,,True,4.0
132,,12.0,,4.0,,,,,,,,,3.0
133,Phú Nhuan,4.0,,3.0,4.0,TRUE,True,,True,,,,5.0
134,Quận Bình Tân,16.0,129.0,6.0,4.0,,,True,True,,,True,2.0
135,Thủ Đức,18.5,400.0,14.0,,,,True,,True,,True,2.0
136,,15.8,376.45,10.0,,TRUE,,True,,,,,2.0
137,,6.4,100.0,4.0,3.0,TRUE,,,,,,,3.0
138,quận Bình Thạnh,4.5,40.0,2.0,2.0,,,,,,,,2.0
139,,12.5,90.0,4.0,5.0,,,,,,,,2.0
140,,22.0,132.0,23.0,,TRUE,,,,,,,7.0
141,Bình Tân,3.5,50.0,2.0,2.0,TRUE,True,,,,True,,2.0
142,Tân Bình,5.9,44.0,1.0,1.0,,,,,,,,2.0
143,Tân Bình,5000000000.0,,2.0,,TRUE,,,,,,,2.0
144,,4.2,,3.0,3.0,,,,True,,,,3.0
145,Quận Bình Tân,4.6,58.0,,,TRUE,True,True,True,,,,
146,,4310000.0,,,,,,,,,,,
147,Q. Bình Tân,4.7,48.0,4.0,5.0,TRUE,True,True,True,,,,3.0
148,Quận Bình Tân,10.5,88.0,,,,,True,True,,,,2.0
149,Quận 8,12.8,72.0,5.0,6.0,TRUE,True,,,True,,,3.0
150,Quận 8,12.8,72.0,5.0,6.0,TRUE,True,True,True,True,True,,3.0
151,Quận 10,8.5,56.0,5.0,3.0,TRUE,,True,True,,,,2.0
152,Quận Bình Tân,4.5,54.0,,,TRUE,True,True,True,,,,2.0
153,Thủ Đức,5.5,268.0,3.0,2.0,TRUE,True,,,,,True,
154,,6.8,65.0,4.0,5.0,TRUE,,True,True,,True,,3.0
155,Q. Bình Tân,4.35,64.0,,,,,,True,,,,1.0
156,,4.4,74.0,3.0,2.0,,,True,True,,,True,2.0
157,,4.4,74.0,3.0,2.0,,,True,True,,,True,2.0
158,Tân Phú,5.0,76.0,4.0,1.0,TRUE,True,True,True,,,,4.0
159,Quận 9,,55.0,4.0,3.0,TRUE,,True,,,,,3.0
160,,4.85,254.0,2.0,1.0,,,True,True,True,,,4.0
161,,22.5,184.0,,,,,,,,,,4.0
162,Quận Bình Tân,11.5,60.0,4.0,5.0,TRUE,,,,,,,3.0
163,,9.6,84.0,4.0,3.0,TRUE,,,,,,,3.0
164,,4.0,,,,TRUE,True,True,True,,,,3.0
165,BÌNH THẠNH,3.0,60.0,3.0,2.0,TRUE,,,True,,,,2.0
166,Gò Vấp,400000000.0,34.0,2.0,2.0,TRUE,,,,,,,2.0
167,Q12,2.6,100.0,3.0,2.0,,,,,,,True,2.0
168,Tân Bình,9.8,56.0,5.0,5.0,TRUE,,,,,,,5.0
169,Thủ Đức,5.0,98.0,,,TRUE,,,,,,True,
170,,5.5,,4.0,,TRUE,,True,,,,,4.0
171,,,,4.0,3.0,TRUE,,,,,,,3.0
172,Quận 10,12.99,90.0,8.0,,,,,,,,True,4.0
173,Gò Vấp,7.2,4.4,6.0,7.0,,,,,,,,3.0
174,Gò Vấp,6.5,4.0,4.0,4.0,,,,True,,,,3.0
175,Q12,2.98,67.0,2.0,2.0,TRUE,,,,,,True,2.0
176,Tân Bình,6.3,59.0,5.0,4.0,,,,,,,True,5.0
177,Tân Bình,6.3,59.0,5.0,4.0,,,,,,,True,5.0
178,Q7,4.6,100.0,3.0,,,,,,True,True,,
179,Gò Vấp,13.6,80.0,5.0,6.0,TRUE,,,True,,,,5.0
180,Bình Tân,600.0,70.0,3.0,2.0,TRUE,,,,,,True,2.0
181,Tân Phú,5.0,51.0,4.0,3.0,TRUE,,,,,,True,2.0
182,Quận Bình Tân,5.2,45.48,3.0,3.0,TRUE,True,True,True,,,,3.0
183,Tân Phú,11.0,80.0,6.0,,TRUE,,,,,,True,5.0
184,Phú Nhuận,3780.0,122.6,4.0,3.0,,,,,,,True,3.0
185,TP Thủ Đức,3.0,61.0,2.0,,,,,,,,True,
186,Bình Tân,3.0,,2.0,2.0,TRUE,,,,,,,2.0
187,Tân Phú,4850000000.0,48.2,2.0,2.0,,,,True,,,,2.0
188,Bình Tân,3.33,,2.0,2.0,TRUE,,,True,,,,2.0
189,Tân Bình,4.0,45.0,,,,,True,True,,,,
190,Gò Vấp,3.9,40.0,3.0,2.0,TRUE,,,True,,,,2.0
191,Gò Vấp,3.0,76.0,5.0,,TRUE,,,,,,,
192,Tân Bình,37.0,346.0,,,TRUE,True,True,True,,,True,6.0
193,,5.0,50.0,4.0,,,,,,,,,3.0
194,Thủ Đức,4.8,90.0,,,TRUE,,,,,,,
195,Tân Phú,4200000000.0,64.0,3.0,1.0,TRUE,,True,True,,True,,3.0
196,Gò Vấp,3.65,41.35,2.0,,,,True,True,,,True,2.0
197,Gò Vấp,4.0,45.0,3.0,3.0,TRUE,,,True,,,True,3.0
198,Tân Bình,3.5,,2.0,2.0,TRUE,,,,,,,2.0
199,Bình Tân,3.0,50.0,3.0,2.0,TRUE,,,,,,True,
200,Bình Tân,5.0,55.0,4.0,,,,,,,,,4.0
201,,,,,,,,,,,,,
202,Tân Bình,4.0,4.0,3.0,,,,,,,,,3.0
203,Thủ Đức,4.0,40.0,3.0,,TRUE,,True,,,,True,3.0
204,Q12,2.7,80.0,3.0,2.0,TRUE,,,,,,,2.0
205,,5.0,41.8,4.0,,TRUE,,,,,,True,3.0
206,QUẬN 12,3.3,66.0,6.0,3.0,,,,,,,True,3.0
207,Huyện,3.9,57.0,3.0,2.0,TRUE,,,,,,,2.0
208,Q12,3.3,120.0,3.0,2.0,TRUE,,True,True,True,,True,2.0
209,,,,2.0,2.0,,True,,True,,,,2.0
210,,,,2.0,2.0,TRUE,True,,True,,,,2.0
211,Gò Vấp,5.0,50.0,,,,True,True,True,,True,,5.0
212,Bình Thạnh,1.9,18.0,,,,True,True,True,,,True,3.0
213,HÓC MÔN,3.15,89.0,2.0,1.0,TRUE,True,True,True,True,,True,1.0
214,Q9,17.5,182.46,,,TRUE,,,,,,True,
215,q9,16.0,173.8,,,TRUE,,,,,,True,
216,,2.0,22.0,2.0,,,,,,,,,
217,Tân Phú,7.0,120.0,3.0,1.0,TRUE,,,,True,,True,3.0
218,Tân Bình,7.0,,3.0,3.0,TRUE,,,,,True,,4.0
219,Tân Bình,7.0,,3.0,3.0,,,,,,,,4.0
220,Hóc Môn,3.15,89.0,3.0,1.0,TRUE,True,True,True,,True,True,1.0
221,,5.7,,,,,,True,True,,,,2.0
222,Bình Tân,3.1,60.0,2.0,2.0,TRUE,,,,,,,2.0
223,Gò Vấp,5.2,80.0,2.0,2.0,TRUE,,,,,,True,2.0
224,Gò Vấp,5.2,80.0,2.0,2.0,TRUE,,,,,,True,2.0
225,Gò Vấp,5.2,80.0,2.0,2.0,TRUE,,,,,,True,2.0
226,Quận Gò Vấp,4.5,42.0,2.0,2.0,TRUE,,,,,,,3.0
227,Tân Bình,4.0,55.0,4.0,3.0,TRUE,True,True,True,,,,4.0
228,Gò Vấp,2.8,42.0,2.0,2.0,TRUE,,,,,,,2.0
229,Bình Thạnh,6.9,82.0,3.0,,TRUE,,,,,,True,3.0
230,Bình Chiểu,4.0,93.0,,,TRUE,,,,,,,4.0
231,,14.9,100.0,15.0,,,,,,,,,5.0
232,Thủ Đức,16.0,93.0,4.0,4.0,TRUE,,True,,,,True,5.0
233,Tân Bình,4.0,56.0,,,,,,,,,True,
234,,1850000.0,1.98,,,,,,,,,,
235,Gò Vấp,10.99,50.0,4.0,5.0,TRUE,,,,,,,6.0
236,Q.Phú Nhuận,8.5,58.0,5.0,,,True,,True,,,True,4.0
237,TÂN PHÚ,15.0,160.0,,,TRUE,,,,,,,3.0
238,Bình Thạnh,5.0,45.0,4.0,5.0,TRUE,True,,,,,,4.0
239,Tân Bình,4.0,56.0,4.0,3.0,TRUE,True,True,,,,,4.0
240,Tân Bình,4.0,56.0,4.0,3.0,TRUE,True,True,True,,,,4.0
241,Thủ Đức,13.0,240.0,3.0,4.0,,,,True,,True,True,2.0
242,Nhà Bè,100000000.0,,,,TRUE,,,,,,,
243,Gò Vấp,4.5,45.0,3.0,4.0,,,,True,,,,3.0
244,Bình Tân,4.8,72.0,2.0,2.0,TRUE,,,,,True,,2.0
245,Gò Vấp,4.8,75.0,4.0,2.0,,,,,True,,,3.0
246,Gò Vấp,4.8,75.0,4.0,2.0,TRUE,,,,True,,,3.0
247,,4.0,35.0,2.0,3.0,TRUE,,True,True,,True,True,2.0
248,,4.0,35.0,2.0,3.0,TRUE,False,True,True,False,True,True,2.0
249,Gò Vấp,4.0,58.0,3.0,2.0,TRUE,,,,,True,,2.0
250,Bình Tân,6.1,54.0,3.0,,TRUE,,,True,,,,3.0
251,Quận Gò Vấp,2.9,80.0,4.0,5.0,,,,,,,,3.0
252,Hóc Môn,10.5,150.0,,,TRUE,,,,,,,4.0
253,Huyện,3.8,60.0,,,,,,,,,True,3.0
254,Tân Phú,5.0,76.0,3.0,1.0,TRUE,,True,True,,,,3.0
255,Quận Tân Phú,,,6.0,5.0,TRUE,,,,,,,3.0
256,Gò Vấp,4.9,42.0,3.0,4.0,,,,,,,,3.0
257,Tân Bình,8.8,75.0,,,,,,,,,,2.0
258,Q2,8.7,54.0,,,TRUE,,,,,,True,4.0
259,Tp Thủ Đức,22.0,100.0,,,TRUE,,,,,,True,5.0
260,Quận Thủ Đức,34.0,147.0,,,,,,,,,True,4.0
261,Thủ Đức,27.0,147.0,,,,,,,,,False,5.0
262,Thủ Đức,,,3.0,2.0,,True,,,,,,2.0
263,Tân Bình,9.6,52.0,2.0,2.0,TRUE,,,,,,,2.0
264,PHÚ NHUẬN,5.0,40.0,3.0,4.0,,True,,,,,,5.0
265,Tân Bình,6.5,51.55,5.0,6.0,TRUE,,,,,,True,4.0
266,Tân Bình,6.5,51.55,5.0,6.0,TRUE,,,,,,,4.0
267,Quận 8,10.8,202.7,4.0,3.0,TRUE,True,,,True,,,3.0
268,Quận 5,10.3,66.4,2.0,,TRUE,True,,,,,,1.0
269,Quận 2,22.5,80.0,,,TRUE,,,,,,True,5.0
270,,3.7,,2.0,,TRUE,True,True,True,True,,,1.0
271,Hóc Môn,1800000.0,,,,,,,,,,,
272,Bình Tân,3.2,44.0,2.0,2.0,TRUE,,,,,,True,2.0
273,BÌNH TÂN,90.0,240.0,7.0,6.0,TRUE,,,True,,,,3.0
274,Bình Thạnh,4.75,40.0,2.0,2.0,TRUE,,,,,,,2.0
275,TP.Thủ Đức,5.0,62.4,,,TRUE,,,,,,True,2.0
276,,3.8,100.0,2.0,2.0,TRUE,,,,,,,
277,Q.Bình Thạnh,5.3,41.8,3.0,,,,,,,,True,2.0
278,,,,,,,True,True,True,,,True,
279,Phú Nhuận,1.99,14.0,1.0,2.0,,,,,,,True,
280,,3.8,100.0,5.0,2.0,TRUE,,,,,,,
281,,4.5,,,,,,,True,,,,4.0
282,,12.0,80.0,5.0,4.0,TRUE,,True,,,,True,3.0
283,,96.0,4422.0,,,TRUE,,True,,,True,True,
284,Tân Phú,10.0,64.0,4.0,4.0,TRUE,,True,,,,,4.0
285,Thủ Đức,,60.0,2.0,,,,,,True,,,
286,Tân Phú,10.5,60.0,4.0,4.0,,,,,,,,4.0
287,Tp Thủ Đức,20.0,120.0,3.0,3.0,TRUE,,True,True,,,True,3.0
288,Quận 12,19.0,208.0,4.0,2.0,TRUE,,,,,,,2.0
289,Quận 11,5.7,55.0,4.0,5.0,,,,,,,,2.0
290,Quận Tân Bình,,,,,,,,,,,,
291,Q. Bình Tân,7.6,96.0,,,TRUE,,True,True,,,,2.0
292,,,,,,,,,,,,,
293,Quận Bình Tân,7.5,80.0,,,TRUE,,True,True,,,,2.0
294,Quận Bình Tân,7.9,70.0,,,TRUE,,,True,,,,2.0
295,Quận 9,2.25,28.0,1.0,,,,,,,,True,2.0
296,Phú Nhuan,5.0,55.0,3.0,3.0,TRUE,,,,True,,,3.0
297,TPHCM,7.0,115.0,,,TRUE,,,True,,,,3.0
298,Bình Tân,4.45,88.0,,,,,,,,,,2.0
299,Q9,21.5,224.0,5.0,5.0,TRUE,True,True,True,,,True,3.0
300,Gò Vấp,8.5,78.0,4.0,5.0,,,,,,,,4.0
301,Thủ Đức,6.0,65.0,3.0,2.0,TRUE,,,,,,True,2.0
302,Q.8,3.4,63.0,4.0,,,,True,True,,,,2.0
303,,3.0,84.0,,,TRUE,True,True,True,,True,,
304,Gò Vấp,6.68,43.0,4.0,3.0,TRUE,,True,,,,,4.0
305,Gò Vấp,8.6,60.0,4.0,5.0,TRUE,,,,,,,4.0
306,Tân Bình,1.9,27.0,2.0,,,,,,,,True,2.0
307,BÌNH THẠNH,5.0,42.0,5.0,6.0,TRUE,True,,,True,,,5.0
308,Tân Phú,10.3,64.0,3.0,,,,,,,,True,4.0
309,Bình Tân,6.6,64.0,2.0,2.0,TRUE,,,,,,,2.0
310,Tân Phú,18.5,60.0,8.0,5.0,TRUE,,,,,,,4.0
311,,,126.0,,,TRUE,,,,,True,,3.0
312,Tân Phú,18.5,60.0,8.0,5.0,TRUE,,,,,,True,4.0
313,Q2,17.5,80.0,,,,,,,,,,3.0
314,BÌNH TÂN,9.0,84.0,7.0,1.0,TRUE,,,True,,,,6.0
315,Tân Sơn Nhì,10.3,64.0,3.0,,,,,,,,,4.0
316,Q Gò Vấp,7.05,45.0,5.0,3.0,TRUE,,True,True,,,True,5.0
317,Q Gò Vấp,7.05,45.0,5.0,3.0,,,True,True,,,,5.0
318,Gò Vấp,4.8,65.0,4.0,3.0,TRUE,True,,True,,,True,2.0
319,Quận 2,16.5,80.0,,,TRUE,,,,,,,3.0
320,Tân Phú,4.6,54.0,2.0,2.0,,,True,True,,,,2.0
321,,10.0,80.0,,,TRUE,,,,,True,,5.0
322,,10.0,80.0,,,TRUE,,,,,True,,2.0
323,,16.0,100.0,4.0,,TRUE,True,,,,,,4.0
324,,30.0,147.0,,,TRUE,,,,,,,
325,Phú Nhuận,11.0,80.0,5.0,6.0,,,,,,,,4.0
326,Gò Vấp,3.7,44.0,2.0,2.0,,,,,,,,2.0
327,Bình Thạnh,,,5.0,6.0,,,,,,,,5.0
328,Thủ Đức,4.9,60.0,4.0,3.0,TRUE,,True,True,,,,3.0
329,,,,3.0,4.0,,,True,True,,,True,3.0
330,Tân Phú,31.5,185.0,,,TRUE,,,,,,True,
331,Thủ Đức,8.0,90.2,5.0,,TRUE,,True,,,,True,
332,Phường Linh Đông,6.8,89.0,,,TRUE,,,,,,,3.0
333,Phường Linh Đông,6.8,89.0,,,TRUE,,,,,,,3.0
334,Quận 2,4.0,140.0,3.0,,,,,,,,True,2.0
335,,13.6,86.0,,,TRUE,,,,,,,4.0
336,Quận,31.5,185.0,,,TRUE,,,,,,,
337,Quận,31.5,185.0,,,TRUE,,,,,,,
338,Bình Tân,5.0,51.25,3.0,,TRUE,,True,True,,,,6.0
339,Q. Gò Vấp,3.1,31.0,2.0,2.0,,,,,,,True,2.0
340,Tân Phú,13.6,86.0,3.0,3.0,TRUE,,True,,,,True,4.0
341,Thủ Đức,3.0,42.0,3.0,,,,,,,,True,
342,Quận Tân Bình,2850000.0,,,,,,,,,,,
343,Tân Phú,4.0,55.0,3.0,1.0,TRUE,,,,,True,,3.0
344,Quận 4,4.85,46.8,3.0,3.0,TRUE,True,True,True,,,,4.0
345,TP.Thủ Đức,3.6,102.0,3.0,2.0,,,,,,,True,2.0
346,Tân Bình,7.9,36.2,3.0,,TRUE,False,False,False,False,True,True,5.0
347,Tây Hoà,4.9,95.0,3.0,2.0,,,,,,,,2.0
348,Tây Hoà,4.9,95.0,3.0,2.0,,,,,,,,2.0
349,Tân Bình,5.0,35.0,3.0,2.0,,,,,,,True,3.0
350,,5.1,66.0,4.0,5.0,,,,,,,,3.0
351,Quận Bình Thạnh,15.5,55.0,5.0,1.0,TRUE,,True,True,,,True,3.0
352,Quận 10,3.8,25.0,,,,,,,,,,
353,Gò Vấp,6.25,63.0,,,TRUE,,,,,,,
354,,5.6,70.0,5.0,5.0,,,,,,,True,3.0
355,,3.6,44.0,3.0,2.0,,,,,,,,3.0
356,TP.Thủ Đức,4.1,60.0,4.0,2.0,,,,,,,True,2.0
357,Quận 9,3.7,50.0,3.0,2.0,TRUE,,True,,,,,2.0
358,Quận Gò Vấp,4.8,50.0,3.0,2.0,,,True,True,,,,2.0
359,Tân Phú,5.0,68.0,4.0,1.0,TRUE,,,,,,True,4.0
360,Quận Gò Vấp,4.5,70.0,1.0,2.0,TRUE,,,True,,,,
361,Thủ Đức,11.3,184.0,,,,,True,,,,True,3.0
362,,4.2,,2.0,,TRUE,,True,True,,True,,2.0
363,,4.75,80.0,2.0,2.0,,,,,,,,2.0
364,Tân Phú,4.5,48.0,2.0,,,,,,,,,1.0
365,Quận 9,9.5,119.0,14.0,15.0,,,,,,True,True,5.0
366,Tân Bình,5.0,77.0,3.0,4.0,TRUE,,,,,,,2.0
367,,4.9,50.0,4.0,,TRUE,,,True,,,True,3.0
368,Q. Bình Thạnh,11.8,50.0,,,,,,,,,,4.0
369,Quận Tân Bình,3450000.0,,,,,,,,,,,
370,Bình Thạnh,12.8,80.0,4.0,5.0,TRUE,,,,,,,3.0
371,Quận 2,16.0,80.0,,,TRUE,,,,,,,3.0
372,Quận 2,16.0,80.0,,,TRUE,,,,,,,2.0
373,Thủ Đức,4.6,52.0,4.0,3.0,,,True,True,True,,True,3.0
374,Tân Phú,3.3,,2.0,2.0,TRUE,,,True,,True,,2.0
375,Quận 10,8.0,41.0,3.0,3.0,TRUE,,,,,,,4.0
376,Quận 10,8.0,41.0,3.0,3.0,TRUE,,,,,,,4.0
377,Quận 10,,,3.0,2.0,TRUE,,,,,,True,2.0
378,Quận 10,,,3.0,2.0,TRUE,,,,,,True,2.0
379,,4.9,50.0,3.0,2.0,TRUE,,,,,,,3.0
380,Bình Tân,27.0,210.0,,,TRUE,,True,,,True,,5.0
381,,9.4,80.0,,,TRUE,,,,,True,True,4.0
382,Tân Bình,4.78,33.0,4.0,5.0,TRUE,,,,,,,5.0
383,,2.75,43.4,2.0,2.0,TRUE,,,True,,True,,2.0
384,,17.5,60.0,,,TRUE,,,,,,,3.0
385,,5.1,56.25,4.0,3.0,TRUE,,,True,,,True,3.0
386,Bình Tân,2.6,33.0,3.0,2.0,,,,True,,,,3.0
387,Thủ Đức,4.0,44.0,3.0,2.0,,,,,,,,3.0
388,Tân Bình,3.0,52.0,2.0,,,,,,,,,
